,fb_head,fb_relation,fb_tail
39,/m/03mdbqx,people/person/places_lived./people/place_lived/location,/m/0d06m5
40,/m/0157m,organization/role/leaders./organization/leadership/person,/m/02_1m
41,/m/0jl0g,people/person/employment_history./business/employment_tenure/title,/m/01fch0
42,Jason+Falconer,people/person/employment_history./business/employment_tenure/title,Instructor
43,/m/01lk__r,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
44,/m/01lk__r,organization/role/leaders./organization/leadership/person,/m/0138n5_r
45,/m/0157m,people/person/places_lived./people/place_lived/location,/m/08gb40
46,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,Jason+Falconer
47,/m/02x2tr8,people/person/employment_history./business/employment_tenure/title,Google Assistant
48,/m/021583,organization/role/leaders./organization/leadership/person,/m/03mdbqx
49,TwitterBernard+Sansaricq,organization/role/leaders./organization/leadership/person,SHARES+Facebook
50,TwitterBernard+Sansaricq,organization/role/leaders./organization/leadership/person,/m/07t58
51,Adam+Gitlin,organization/role/leaders./organization/leadership/person,/m/02pjfvw
52,/m/02pjfvw,organization/role/leaders./organization/leadership/person,Adam+Gitlin
53,/m/0d8qb,people/person/employment_history./business/employment_tenure/title,/m/059yj
54,/m/0h7q0rq,organization/organization/headquarters./location/mailing_address/country,/m/07c5l
55,/m/0685rw,organization/role/leaders./organization/leadership/person,National+Border+Patrol+Council+Local+2455
56,/m/0j5pc,people/person/employment_history./business/employment_tenure/title,/m/04c_3b
57,/m/094z8,location/hud_county_place/county,/m/0czf4m8
58,/m/05sj2z,people/person/employment_history./business/employment_tenure/title,/m/06b1q
59,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/02z_b
60,/m/07c_l,organization/role/leaders./organization/leadership/person,/m/0cqt90
61,/m/0cxslf,people/person/employment_history./business/employment_tenure/title,pollster
62,Greg+Pollowitz,organization/role/leaders./organization/leadership/person,/m/01dgg6
63,/m/04glwxr,organization/role/leaders./organization/leadership/person,/m/03d5lmj
64,/m/04glwxr,people/person/employment_history./business/employment_tenure/title,/m/071rm
65,/m/04glwxr,people/person/employment_history./business/employment_tenure/title,/m/0377k9
66,/m/04glwxr,organization/role/leaders./organization/leadership/person,Missiongathering+Christian+Church
67,/m/08193,people/person/employment_history./business/employment_tenure/title,/m/06bnz
68,/m/027nvsp,organization/role/leaders./organization/leadership/person,/m/04b6p
69,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
70,/m/0f8t6k,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
71,/m/08cnqc,people/person/employment_history./business/employment_tenure/title,/m/0cfpc
72,/m/0cqt90,organization/role/leaders./organization/leadership/person,2020 Republican Party presidential primaries
73,/m/014df6,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
74,/m/019x9z,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
75,/m/0d05fv,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
76,/m/02w8m6,organization/role/leaders./organization/leadership/person,/m/085srz
77,/m/02w8m6,people/person/employment_history./business/employment_tenure/title,/m/012t_z
78,/m/02w8m6,organization/role/leaders./organization/leadership/person,/m/06pwq
79,/m/09g6z41,organization/role/leaders./organization/leadership/person,/m/07gmmy
80,Lisa Gordon-Hagerty,people/person/employment_history./business/employment_tenure/title,/m/0bwkm08
81,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,State.Well
82,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,/m/06slz5
83,John Pfaff,organization/role/leaders./organization/leadership/person,/m/027kp3
84,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,/m/0bwl7t0
85,/m/0bydx6,people/person/employment_history./business/employment_tenure/title,/m/06lvrr
86,/m/026swz9,people/person/employment_history./business/employment_tenure/title,/m/025whr1
87,/m/02x2tr8,people/person/employment_history./business/employment_tenure/title,/m/0820qp
88,/m/0120w9bh,people/person/employment_history./business/employment_tenure/title,/m/0157m
89,/m/0120w9bh,people/person/employment_history./business/employment_tenure/title,/m/07g7bl
90,Kyle,people/person/employment_history./business/employment_tenure/title,/m/0ptt0
91,/m/0343h,people/person/employment_history./business/employment_tenure/title,/m/03r8gp
92,Juanita Irizarry,people/person/employment_history./business/employment_tenure/title,/m/0cqf2_
93,/m/05557v4,people/person/employment_history./business/employment_tenure/title,/m/0130xz
94,/m/07xg1,organization/organization/headquarters./location/mailing_address/country,/m/0jdd
95,/m/05557v4,people/person/employment_history./business/employment_tenure/title,/m/01gzh0
96,/m/035rnz,people/person/employment_history./business/employment_tenure/title,/m/014g_s
97,/m/0257nv,organization/role/leaders./organization/leadership/person,/m/0bymv
98,/m/0257nv,organization/role/leaders./organization/leadership/person,/m/0cqt90
99,/m/07rlz7,people/person/employment_history./business/employment_tenure/title,peaceout.com
100,/m/07rlz7,people/person/employment_history./business/employment_tenure/title,Organizer
101,O'Brien,organization/role/leaders./organization/leadership/person,/m/01wcxw
102,/m/05tjbz,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
103,/m/06r04p,people/person/employment_history./business/employment_tenure/title,/m/02jknp
104,/m/045m16,organization/role/leaders./organization/leadership/person,/m/02_1m
105,Joseph diGenova,people/person/employment_history./business/employment_tenure/title,/m/04gc2
106,/m/0h7q0rq,organization/organization/headquarters./location/mailing_address/country,/m/01z215
107,USA+Politics+Today,organization/role/leaders./organization/leadership/person,/m/0157m
108,USA+Politics+Today,organization/role/leaders./organization/leadership/person,/m/0cqt90
109,/m/0dsdp74,people/person/employment_history./business/employment_tenure/title,/m/0157m
110,/m/0dsdp74,people/person/employment_history./business/employment_tenure/title,/m/03mdbqx
111,/m/02pjpd,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
112,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,/m/07vp7
113,/m/02607j,organization/organization/headquarters./location/mailing_address/country,/m/03s0c
114,Donald,people/person/employment_history./business/employment_tenure/title,/m/0h7q0rq
115,/m/03jmnt,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
116,Jennifer Roberts,people/person/employment_history./business/employment_tenure/title,/m/03x_sks
117,/m/0nb_v,organization/organization/headquarters./location/mailing_address/country,/m/0gsg7
118,/m/0y4zr4f,people/person/employment_history./business/employment_tenure/title,/m/0157m
119,/m/0y4zr4f,people/person/employment_history./business/employment_tenure/title,/m/03xk7t
120,/m/0y4zr4f,organization/role/leaders./organization/leadership/person,/m/09d5h
121,/m/0dq819,people/person/employment_history./business/employment_tenure/title,/m/03xk7t
122,/m/0dq819,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
123,/m/0157m,organization/role/leaders./organization/leadership/person,/m/085srz
124,/m/049_zz,organization/role/leaders./organization/leadership/person,/m/06jvj7
125,/m/0fqmphx,people/person/employment_history./business/employment_tenure/title,/m/01pt0z
126,Corey Lewandowski,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
127,Corey Lewandowski,people/person/employment_history./business/employment_tenure/title,/m/03xk7t
128,Mook,organization/role/leaders./organization/leadership/person,NBCs+Today.Asked
129,/m/0b9ndp,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
130,/m/0bxhx,people/person/religion,/m/0q4tw
131,/m/0204x1,organization/role/leaders./organization/leadership/person,List of current United States senators
132,/m/05k7sb,organization/role/leaders./organization/leadership/person,/m/085srz
133,/m/0204x1,people/person/employment_history./business/employment_tenure/title,/m/0h7q0rq
134,/m/0c_md_,people/person/places_lived./people/place_lived/location,/m/06c0j
135,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/085srz
136,/m/01v6nf,organization/role/leaders./organization/leadership/person,/m/05k7sb
137,/m/02n8p2,organization/role/leaders./organization/leadership/person,/m/0gsgr
138,/m/0px38,organization/role/leaders./organization/leadership/person,/m/06v2j5
139,/m/0wbh29p,people/person/employment_history./business/employment_tenure/title,CPL
140,/m/0wbh29p,people/person/places_lived./people/place_lived/location,/m/0nzlp
141,/m/0wbh29p,people/person/employment_history./business/employment_tenure/title,/m/0nzlp
142,/m/02qlgwq,organization/role/leaders./organization/leadership/person,/m/02z_b
143,/m/07j6ty,people/person/employment_history./business/employment_tenure/title,John+F.+Kennedy+Cruz
144,/m/0d3k14,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
145,/m/0b1qpc,people/person/employment_history./business/employment_tenure/title,/m/02k13d
146,/m/0n3ll,people/person/places_lived./people/place_lived/location,/m/0157m
147,/m/0157m,organization/role/leaders./organization/leadership/person,/m/0cv_2
148,/m/0d06m5,organization/role/leaders./organization/leadership/person,/m/0289n8t
149,/m/081yw,people/person/employment_history./business/employment_tenure/title,/m/0d3k14
150,/m/0d3k14,people/person/employment_history./business/employment_tenure/title,/m/06hx2
151,/m/06hx2,people/person/employment_history./business/employment_tenure/title,/m/0465sdr
152,/m/08193,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
153,/m/0bphp,people/person/employment_history./business/employment_tenure/title,/m/0h7q0rq
154,/m/0f7fy,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
155,/m/0f7fy,people/person/employment_history./business/employment_tenure/title,/m/01crd5
156,/m/0cnyrfq,organization/role/leaders./organization/leadership/person,/m/0d06m5
157,/m/06npx,location/country/languages_spoken,/m/0k7ny
158,/m/06npx,location/country/languages_spoken,/m/0d05w3
159,/m/013y1y,people/person/employment_history./business/employment_tenure/title,/m/02j9z
160,/m/013y1y,people/person/employment_history./business/employment_tenure/title,/m/0c01v
161,Bryce+Heinlein,people/person/employment_history./business/employment_tenure/title,/m/01g2j2
162,/m/03cm6b3,people/person/employment_history./business/employment_tenure/title,/m/06b1q
163,/m/05cljf,organization/role/leaders./organization/leadership/person,/m/0kc6x
164,/m/05yz6j,people/person/employment_history./business/employment_tenure/title,/m/014g_s
165,/m/03n1q0,organization/role/leaders./organization/leadership/person,/m/0cv_2
166,/m/03n1q0,people/person/employment_history./business/employment_tenure/title,/m/05_xks
167,/m/01cy4y,organization/organization/headquarters./location/mailing_address/country,/m/07ssc
168,/m/012gx2,people/person/employment_history./business/employment_tenure/title,/m/0d05fv
169,/m/06c0j,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
170,/m/05st_r,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
171,/m/05st_r,organization/role/leaders./organization/leadership/person,/m/07k5l
172,Evelyn+Arnold,people/person/employment_history./business/employment_tenure/title,/m/07s82n4
173,W. Shannon Morris,people/person/employment_history./business/employment_tenure/title,/m/07s82n4
174,Ahmad+Khan+RahamiHall,organization/role/leaders./organization/leadership/person,/m/06v0py
175,/m/0d06m5,people/person/employment_history./business/employment_tenure/title,/m/03xk7t
176,/m/0d06m5,organization/role/leaders./organization/leadership/person,/m/0gsgr
177,/m/02lhtf,people/person/employment_history./business/employment_tenure/title,/m/04wk4z
178,/m/0dq819,organization/role/leaders./organization/leadership/person,/m/0h7q0rq
179,/m/0dq819,people/person/employment_history./business/employment_tenure/title,/m/0dq819
180,/m/0gsgr,organization/organization/headquarters./location/mailing_address/country,/m/0f8t6k
181,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,United+Nations+CNN
182,/m/02_fg6,organization/role/leaders./organization/leadership/person,/m/02m1b
183,/m/0d3qd0,people/person/employment_history./business/employment_tenure/title,/m/0bwl7t0
184,Margaret+Huang,organization/role/leaders./organization/leadership/person,Amnesty+Internationals+Interim+Executive
185,/m/02_fg6,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
186,/m/0d06m5,people/person/religion,/m/0flw86
187,/m/0b2xfq,organization/role/leaders./organization/leadership/person,/m/0bwfn
188,/m/0b2xfq,people/person/employment_history./business/employment_tenure/title,/m/016fly
189,/m/0dkr2r,organization/role/leaders./organization/leadership/person,/m/04tpcx
190,/m/023fbk,people/person/employment_history./business/employment_tenure/title,/m/02g9n
191,/m/015h4y,organization/role/leaders./organization/leadership/person,/m/0hhqj3p
192,Michael Oreskes,organization/role/leaders./organization/leadership/person,NPR+News
193,Michael Oreskes,people/person/employment_history./business/employment_tenure/title,/m/02jknp
194,/m/0_yglzq,people/person/employment_history./business/employment_tenure/title,/m/0_yglzq
195,/m/094z8,location/hud_county_place/county,/m/094z8
196,Erik+J.+Heipt,people/person/employment_history./business/employment_tenure/title,/m/04gc2
197,/m/0cqt90,organization/role/leaders./organization/leadership/person,AP+Photo+Trump
198,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/0gsgr
199,/m/02qg4z,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
200,/m/05y6yms,people/person/employment_history./business/employment_tenure/title,Pack2Go+Europe
201,Kerr+Putney,people/person/employment_history./business/employment_tenure/title,/m/039h8_
202,/m/02wsxy,people/person/employment_history./business/employment_tenure/title,/m/0htp
203,/m/02mjmr,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
204,Gabriel Gorenstein,people/person/employment_history./business/employment_tenure/title,/m/05b105r
205,/m/05b2r22,people/person/employment_history./business/employment_tenure/title,/m/0bscct
206,/m/01brfl,organization/role/leaders./organization/leadership/person,/m/05b2r22
207,/m/0xnc3,people/person/places_lived./people/place_lived/location,/m/0j5g9
208,/m/024p5b,organization/role/leaders./organization/leadership/person,RepublicanWashington+CNN
209,AP+Photo+Trump,organization/role/leaders./organization/leadership/person,/m/0157m
210,Monday.David+Wildstein,organization/role/leaders./organization/leadership/person,Interstate+Capital+Projects
211,/m/0803htk,people/person/employment_history./business/employment_tenure/title,/m/0820qp
212,Bob+Durando,people/person/employment_history./business/employment_tenure/title,/m/019hy
213,/m/01vswwx,organization/role/leaders./organization/leadership/person,/m/09d5h
214,Susan+MacManus,organization/role/leaders./organization/leadership/person,/m/09s5q8
215,Susan+MacManus,people/person/employment_history./business/employment_tenure/title,/m/062z7
216,/m/053f8h,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
217,Neema+Hakim,people/person/employment_history./business/employment_tenure/title,/m/03mdbqx
218,John P. Roth,people/person/employment_history./business/employment_tenure/title,/m/0kvg94
219,/m/0j42f1z,organization/role/leaders./organization/leadership/person,Tim Baker
220,/m/05c3rfn,organization/role/leaders./organization/leadership/person,/m/02q03dy
221,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/01d74z
222,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/018gz8
223,/m/0h7q0rq,people/person/employment_history./business/employment_tenure/title,/m/07t58
224,David Martosko,organization/role/leaders./organization/leadership/person,/m/0180v2
225,Jeremy Diamond,people/person/employment_history./business/employment_tenure/title,/m/0d8qb
226,Jeremy Diamond,organization/role/leaders./organization/leadership/person,/m/0gsgr
227,Ron+Bonjean,people/person/employment_history./business/employment_tenure/title,/m/03gq32j
228,ABC+News+Rahami,organization/organization/headquarters./location/mailing_address/country,/m/0b3wk
229,Cindy+Galli,organization/role/leaders./organization/leadership/person,2016 New York and New Jersey bombings
230,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
231,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/037l9
232,/m/03w9bnr,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
233,/m/03w9bnr,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
234,/m/01pjq21,people/person/employment_history./business/employment_tenure/title,/m/02qkv0r
235,Michael Cohen,people/person/employment_history./business/employment_tenure/title,/m/04gc2
236,/m/09v12g0,people/person/employment_history./business/employment_tenure/title,/m/01cpjg
237,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/0h7q0rq
238,Getty+Joe+Arpaio+Trump,people/person/places_lived./people/place_lived/location,USI
239,/m/0h7q0rq,organization/role/leaders./organization/leadership/person,/m/0gsgr
240,/m/0fm2h,people/person/employment_history./business/employment_tenure/title,/m/060s9
241,/m/02dgtb,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
242,/m/0cqt90,people/person/nationality,/m/0bd931
243,/m/042f3_,people/person/employment_history./business/employment_tenure/title,/m/04wk4z
244,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/0bd931
245,/m/0b7rm2,organization/role/leaders./organization/leadership/person,/m/04s4_v
246,Igor+Sechinduring,organization/role/leaders./organization/leadership/person,/m/04s4_v
247,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/0cqt90
248,/m/061xw_,organization/role/leaders./organization/leadership/person,/m/03cnqkd
249,Craig,organization/role/leaders./organization/leadership/person,/m/01mlrk
250,Sergei+Aleksashenko,people/person/employment_history./business/employment_tenure/title,/m/05_xks
251,Sergei+Aleksashenko,organization/role/leaders./organization/leadership/person,/m/0382np
252,/m/011l2bwd,organization/role/leaders./organization/leadership/person,/m/0bmgs01
253,/m/05h3wxl,organization/role/leaders./organization/leadership/person,/m/02_1m
254,/m/02849v5,organization/role/leaders./organization/leadership/person,/m/037ppp
255,/m/05h3wxl,organization/role/leaders./organization/leadership/person,/m/0bhp2c
256,/m/02ybc5,organization/role/leaders./organization/leadership/person,/m/04s4_v
257,/m/09gd0s0,people/person/employment_history./business/employment_tenure/title,/m/0345h
258,/m/09gd0s0,organization/role/leaders./organization/leadership/person,/m/037ppp
259,/m/020yjg,people/person/employment_history./business/employment_tenure/title,/m/04c_3b
260,Rick Dearborn,people/person/employment_history./business/employment_tenure/title,/m/025whr1
261,HES,organization/role/leaders./organization/leadership/person,/m/0cqt90
262,/m/0296q2,people/person/employment_history./business/employment_tenure/title,/m/060s9
263,/m/02qwnj2,people/person/employment_history./business/employment_tenure/title,/m/06bnz
264,Carter Page,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
265,/m/0px38,organization/role/leaders./organization/leadership/person,/m/0cqt90
266,/m/02z2l74,people/person/employment_history./business/employment_tenure/title,/m/028fjr
267,/m/05c2_fd,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
268,/m/0l8ps43,people/person/employment_history./business/employment_tenure/title,/m/03mdbqx
269,/m/0l8ps43,people/person/employment_history./business/employment_tenure/title,/m/01pt0z
270,/m/04c_3b,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
271,/m/07r9r0,people/person/employment_history./business/employment_tenure/title,/m/0d06m5
272,/m/0cqt90,people/person/employment_history./business/employment_tenure/title,/m/07t58
273,/m/0157m,people/person/employment_history./business/employment_tenure/title,/m/07r9r0
274,Peter Baker,people/person/employment_history./business/employment_tenure/title,List of biographers
275,/m/0ds2ztj,people/person/employment_history./business/employment_tenure/title,/m/04l8cr
276,/m/024v2j,people/person/employment_history./business/employment_tenure/title,United States Speaker of the House
277,David Fahrenthold,organization/role/leaders./organization/leadership/person,/m/0px38
278,David Fahrenthold,people/person/employment_history./business/employment_tenure/title,/m/0d8qb
279,/m/0lq3t,organization/role/leaders./organization/leadership/person,/m/0d06m5
280,Saul+Florez,people/person/employment_history./business/employment_tenure/title,/m/0j28ksx
281,Andrew McCabe,people/person/employment_history./business/employment_tenure/title,Deputy Director
282,/m/0c3x3rz,people/person/employment_history./business/employment_tenure/title,/m/02qkv0r
283,Andrew McCabe,organization/role/leaders./organization/leadership/person,/m/02_1m
284,Minneapolis+Department+of+Civil+Rights,organization/role/leaders./organization/leadership/person,Velma+Korbel
285,Velma+Korbel,organization/role/leaders./organization/leadership/person,Minneapolis+Department+of+Civil+Rights
286,Velma+Korbel,organization/role/leaders./organization/leadership/person,/m/02jknp
287,/m/0cn4c3,people/person/employment_history./business/employment_tenure/title,/m/0h1vgc
288,/m/022r9r,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
289,/m/0chghy,organization/organization/headquarters./location/mailing_address/country,/m/016bvz
290,/m/02p3gzs,people/person/employment_history./business/employment_tenure/title,/m/07ghq
291,Sean Spicer,organization/role/leaders./organization/leadership/person,/m/02r4jz
292,/m/0hx5v,organization/organization/headquarters./location/mailing_address/country,/m/07t58
293,/m/06jm4y,organization/role/leaders./organization/leadership/person,/m/0k0symb
294,/m/0h7q0rq,people/person/employment_history./business/employment_tenure/title,/m/0chbx
295,Paul+Ryan+RWI,people/person/employment_history./business/employment_tenure/title,United States Speaker of the House
296,/m/05ghhl,people/person/employment_history./business/employment_tenure/title,/m/04wk4z
297,/m/05ghhl,organization/role/leaders./organization/leadership/person,/m/02z_b
298,/m/05ghhl,organization/role/leaders./organization/leadership/person,Ryan's World
299,/m/04s9n,people/person/employment_history./business/employment_tenure/title,/m/066dv
300,Walter Shaub,organization/role/leaders./organization/leadership/person,/m/05qwyl
301,/m/05qwyl,organization/role/leaders./organization/leadership/person,Walter Shaub
302,Lisa+Mead.Mead,people/person/employment_history./business/employment_tenure/title,/m/01pn0r
303,Lisa+Mead.Mead,organization/role/leaders./organization/leadership/person,/m/03mdbqx
304,/m/07t7hy,people/person/employment_history./business/employment_tenure/title,/m/060s9
305,Lisa+Mead,people/person/employment_history./business/employment_tenure/title,/m/01pn0r
306,Carlson,organization/role/leaders./organization/leadership/person,/m/0k0symb
307,/m/0kw03,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
308,/m/0kw03,people/person/employment_history./business/employment_tenure/title,/m/02rnkmh
309,/m/0kw03,people/person/employment_history./business/employment_tenure/title,/m/09l7n
310,/m/0kw03,organization/role/leaders./organization/leadership/person,/m/0289n8t
311,/m/0bymv,people/person/employment_history./business/employment_tenure/title,/m/04c_3b
312,/m/025cj4,people/person/employment_history./business/employment_tenure/title,Imran Awan
313,/m/04cmyw,people/person/employment_history./business/employment_tenure/title,/m/02qkv0r
314,/m/081sq,organization/role/leaders./organization/leadership/person,/m/04cmyw
315,/m/081sq,organization/organization/headquarters./location/mailing_address/country,/m/02mjmr
316,/m/0b3wk,organization/organization/headquarters./location/mailing_address/country,/m/0b3wk
317,/m/0p_pd,people/person/employment_history./business/employment_tenure/title,/m/014g_s
318,/m/035dk,people/person/employment_history./business/employment_tenure/title,/m/0cqt90
319,/m/022r9r,people/person/employment_history./business/employment_tenure/title,/m/0btx2g
320,/m/0n8_swr,people/person/employment_history./business/employment_tenure/title,/m/02n9jv
321,/m/024v2j,people/person/employment_history./business/employment_tenure/title,/m/04l8cr
322,/m/039rwf,people/person/employment_history./business/employment_tenure/title,/m/0499g1
323,/m/05_xks,organization/role/leaders./organization/leadership/person,/m/039rwf
324,/m/012v1t,organization/role/leaders./organization/leadership/person,/m/081sq
325,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/01p06z
326,Sean Spicer,people/person/employment_history./business/employment_tenure/title,/m/03mdbqx
327,Sean Spicer,people/person/nationality,/m/06nm1
328,/m/0cqt90,people/person/nationality,/m/06nm1
329,/m/094z8,location/hud_county_place/county,/m/01lbst
330,/m/065nfw,organization/role/leaders./organization/leadership/person,Heather
331,/m/0k0q7zz,people/person/employment_history./business/employment_tenure/title,/m/04zz1zx
332,/m/094z8,location/hud_county_place/county,/m/0cymp
333,/m/0bymv,organization/role/leaders./organization/leadership/person,/m/02kfv7
334,/m/0g12y5,organization/role/leaders./organization/leadership/person,/m/0167_c
335,/m/0bymv,organization/role/leaders./organization/leadership/person,Meet
336,/m/0bymv,people/person/employment_history./business/employment_tenure/title,/m/05_xks
337,/m/01zq6b,people/person/employment_history./business/employment_tenure/title,Foreign Secretary
338,/m/0fgw19,people/person/employment_history./business/employment_tenure/title,/m/0h7q0rq
339,/m/047qlq,organization/role/leaders./organization/leadership/person,Cornerstone Church
340,/m/03dwt_,location/country/languages_spoken,/m/0hzlz
341,/m/036qv,organization/role/leaders./organization/leadership/person,James+Ben+Shahali
342,Jim Porter,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
343,Jim Porter,organization/role/leaders./organization/leadership/person,List of presidents of the National Rifle Association
344,/m/02mjmr,people/person/employment_history./business/employment_tenure/title,/m/0465sdr
345,/m/04k0vk,people/person/employment_history./business/employment_tenure/title,/m/0d05fv
346,/m/0bqscsg,organization/role/leaders./organization/leadership/person,/m/0k0symb
347,/m/0bqscsg,organization/role/leaders./organization/leadership/person,/m/01c0z
348,/m/0bqscsg,organization/role/leaders./organization/leadership/person,/m/027_2w9
349,/m/0bqscsg,people/person/employment_history./business/employment_tenure/title,/m/05_xks
350,/m/042kg,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
351,Barack+Obama.Yesterday+Winters,people/person/employment_history./business/employment_tenure/title,/m/02mjmr
352,/m/0h7q0rq,people/person/places_lived./people/place_lived/location,/m/0cqt90
353,Todd+McMartin,organization/role/leaders./organization/leadership/person,/m/02_1m
354,/m/0cqt90,organization/role/leaders./organization/leadership/person,/m/0d06m5
355,/m/03p2hqb,people/person/employment_history./business/employment_tenure/title,/m/0d8qb
356,/m/05zbm4,organization/role/leaders./organization/leadership/person,/m/05gnf
357,/m/05zbm4,people/person/employment_history./business/employment_tenure/title,/m/03mdbqx
358,/m/05zbm4,organization/role/leaders./organization/leadership/person,/m/07wpbx
359,/m/052g5x,organization/role/leaders./organization/leadership/person,/m/03818y
360,Stephawn,people/person/employment_history./business/employment_tenure/title,Stephawn
